word,category,mean Happiness,mean Anger,mean Sadness,mean Fear,mean Disgust,distance to H,distance to A,distance to S,distance to F,distance to D,distance to N
nikotyna,U,1.2307693,4.1923075,4.0,3.3076923,4.576923,9.239456,7.3331733,7.3573065,8.054432,6.9009037,6.6965113
parasol,U,3.0384614,1.4615384,1.6153846,1.3076923,1.3461539,4.5989904,6.497283,6.3251014,6.6674366,6.637548,2.6944234
"pociągający",U,4.3461537,1.5,1.3846154,2.2307692,1.2692307,3.7046952,7.1431956,7.191964,6.4940786,7.2741194,4.087891
"oskarżenie",U,1.0,3.6538463,3.7307692,4.3076925,3.0769231,8.679379,6.708601,6.643291,5.9700336,7.121697,5.950237
homar,U,2.5769231,1.3846154,1.5769231,2.0769231,2.6153846,5.6206822,7.0419135,6.924324,6.4675903,5.855978,3.4172835
"uczcić",U,5.230769,1.4230769,1.8076923,1.6538461,1.4230769,2.7906706,7.5250025,7.221736,7.3716226,7.5143604,4.8320193
"moździerz",U,1.5384616,1.9230769,2.1923077,2.6153846,2.3076923,6.819244,6.576086,6.35994,5.882703,6.272659,3.1087267
roszczeniowy,U,1.3461539,4.3076925,2.8846154,3.1153846,3.5,8.31332,5.806596,7.23251,7.034526,6.6680546,5.6595364
kukurydza,U,4.076923,1.3076923,1.1923077,1.2692307,1.3846154,3.2544494,6.928165,7.02937,6.963616,6.8551784,3.4119368
pyskaty,U,1.3461539,4.5384617,2.9230769,2.8461537,3.2307692,8.253719,5.512719,7.1822557,7.2828007,6.8730855,5.678397
"zapraszać",U,4.730769,1.5,1.3461539,1.6923077,1.2307693,3.0609813,7.118998,7.257897,6.9549127,7.3198366,4.2150984
"skłonny",U,2.2307692,1.8076923,2.0384614,2.1923077,1.7692307,5.7773995,6.2701764,6.062051,5.86507,6.3101926,2.7918093
"zdychać",U,1.2307693,3.8461537,5.076923,5.076923,4.5,9.836804,8.318609,7.208595,7.313367,7.723912,7.833539
ziemia,U,3.8076923,1.3846154,1.8461539,1.5,1.5769231,3.9662259,6.9108534,6.4722342,6.7871423,6.680113,3.6308846
"odżywczy",U,4.1923075,1.4230769,1.2692307,1.5,1.5384616,3.3465436,6.963592,7.1229424,6.8973207,6.856479,3.8224478
"podejrzewać",U,1.6153846,4.3846154,3.5384614,4.5,3.6923077,8.806079,6.8642225,7.5772223,6.676966,7.4251432,6.667419
"uwalniać",U,5.076923,1.5384616,1.7307693,2.4615386,1.4230769,3.380234,7.731286,7.5967402,6.9021664,7.816154,5.1150694
"żołnierz",U,2.6923077,2.1923077,2.6923077,3.5384614,1.8076923,6.367541,7.1458125,6.660415,5.8196483,7.4901786,4.9692645
"skrupuły",U,2.5,3.2307692,2.8461537,3.2307692,2.7692308,7.031341,6.4498205,6.8772936,6.52644,6.8778815,4.874992
